Date,Artist,Album,Rating,Notes
1/27/2020,Opeth,In Cauda Venenum,7,
1/27/2020,Flying Lotus,Flamagra,9,repeat!!!
1/27/2020,Slipknot,We Are Not Your Kind,6-7,
1/27/2020,headcave,1,6-7,
1/28/2020,Mac Miller,Circles,8-9,repeat!!
1/28/2020,Duster,Duster,8,repeat!!
1/28/2020,Caspian,On Circles,8,repeat!
1/28/2020,Thy Catafalque,Naiv,8,repeat!!!
1/29/2020,Nero Di Marte,Immoto,7-8,
1/29/2020,My Chemical Romance,The Black Parade,8,
1/29/2020,Clipse,Hell Hath No Fury,8-9,
1/29/2020,Poppy,I Disagree,9,repeat!!!
1/29/2020,Stormzy,Heavy Is The Head,8-9,repeat!!!
1/29/2020,Skepta,Ignorance is Bliss,8-9,repeat!!!
1/30/2020,Jeff Parker,Suite for Max Brown,9,repeat!!!
1/30/2020,Talk Talk,Laughing Stock,8,repeat!!
1/30/2020,TTNG,Animals,9-10,<3 <3 <3
1/31/2020,Skepta,Konnichiwa,8,
1/31/2020,Musica Esporadica,Musica Esporadica,9,repeat!!!
1/31/2020,SAN CHA,La Luz de la Esperanza,9,repeat!!!
2/1/2020,Big Thief,Two Hands,8-9,repeat!!!
2/1/2020,Desolate,Exceptionalism,8,repeat!!
2/1/2020,The Tallest Man On Earth,I Love You. It's a Fever Dream.,9,repeat!!!
2/2/2020,Bon Iver,"i, i",8,repeat!!!
2/2/2020,Yazz Ahmed,Polyhymnia,9,repeat!!!
2/3/2020,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,9,repeat!!!
2/3/2020,juneunit,juneunit,8,
2/3/2020,Counterparts,Nothing Left to Love,7-8,
2/7/2020,Weyes Blood,Rought Trade Session,9,get into!!!
2/10/2020,Janet Jackson,The Velvet Rope,8,
2/10/2020,Mac Miller,Circles,8-9,repeat!!!
2/10/2020,"Tyler, The Creator",IGOR,9,repeat!!
2/10/2020,Uboa,The Origin of My Depression,8,
2/11/2020,Kristofer Maddigan,Cuphead (OST),8-9,<3 <3 <3 Deepti recc!!!
2/11/2020,Peter Gabriel,So,9,get into!!!
2/11/2020,Weyes Blood,Titanic Risin,10,BUY and get into and repeat!!!
2/11/2020,Xiu Xiu ,Girl with Basket of Fruit,8-9,
2/11/2020,Frances Quinlan,Likewise,8-9,repeat!!!
2/12/2020,LCD Soundsystem,This Is Happening,8-9,get into!!!
2/12/2020,Sunn O))),Pyroclasts,7,
2/12/2020,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,8,
2/12/2020,Tropical Fuck Storm,Braindrops,8,repeat!!
2/12/2020,Quelle Chris,Guns,8,"repeat!! (""You, Me & Nobody Else"")"
2/12/2020,Purple Mountains,Purple Mountains,9-10,BUY
2/13/2020,Richard Dawson,2020,9-10,repeat!!! and get into!!!
2/13/2020,Slauson Malone,"A Quiet Farwell, Twenty Sixteen to Twenty Eighteen",8,repeat!!
2/13/2020,slowthai,Nothing Great About Britain,8-9,repeat!!! and read!!!
2/14/2020,PUP,Morbid Stuff,8-9,repeat!!!
2/14/2020,Matmos,Plastic Anniversary,7-8,
2/14/2020,Matana Roberts,COIN COIN Chapter Four: Memphis,8,repeat!!! and get into!!!
2/15/2020,Liturgy,H.A.Q.Q.,7,
2/15/2020,Little Simz,GREY Area,9,repeat!!!
2/16/2020,King Gizzard & The Lizard Wizard,Infest The Rats' Nest,8,get into!!!
2/16/2020,JPEGMAFIA,All My Heroes Are Cornballs,9-10,repeat!!!
2/16/2020,Lingua Ignota,CALIGULA,8,get into!!!
2/16/2020,Lightning Bolt,Sonic Citadel,7-8,
2/17/2020,Lizzo,Cuz I Love You,7-8,
2/17/2020,"Malibu Ken, Aesop Rock",Malibu Ken,8,
2/17/2020,Megan Thee Stallion,Fever,6-7,repeat!!!
2/17/2020,Otoboke Beaver,ITEKOMA HITS,7,
2/17/2020,Kirin J Callinan,Return To Center,8,get into!!!
2/17/2020,Lana Del Rey,Norman Fucking Rockwell!,8,repeat!!
2/17/2020,Flume,Hi This Is Flume (Mixtape),8,get into!!!
2/18/2020,Charli XCX,Charli,9,repeat!!!
2/18/2020,"Freddie Gibbs, Madlib",Bandana,8,
2/18/2020,glass beach,the first glass beach album,9,repeat!!!
2/18/2020,Hobo Johnson,The Fall of Hobo Johnson,7,get into though!!!
2/18/2020,glass beach,the first glass beach album,9,repeat!!!
2/18/2020,Dwellings,Lavender Town,8-9,repeat!!!
