Date,Artist,Album,Rating,Notes
43861,Skepta,Konnichiwa,8,
43861,Musica Esporadica,Musica Esporadica,9,repeat!!!
43861,SAN CHA,La Luz de la Esperanza,9,repeat!!!
43862,Big Thief,Two Hands,8-9,repeat!!!
43862,Desolate,Exceptionalism,8,repeat!!
43862,The Tallest Man On Earth,I Love You. It's a Fever Dream.,9,repeat!!!
43863,Bon Iver,"i, i",8,repeat!!!
43863,Yazz Ahmed,Polyhymnia,9,repeat!!!
43864,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,9,repeat!!!
43864,juneunit,juneunit,8,
43864,Counterparts,Nothing Left to Love,7-8,
43868,Weyes Blood,Rought Trade Session,9,get into!!!
43871,Janet Jackson,The Velvet Rope,8,
43871,Mac Miller,Circles,8-9,repeat!!!
43871,"Tyler, The Creator",IGOR,9,repeat!!
43871,Uboa,The Origin of My Depression,8,
43872,Kristofer Maddigan,Cuphead (OST),8-9,<3 <3 <3 Deepti recc!!!
43872,Peter Gabriel,So,9,get into!!!
43872,Weyes Blood,Titanic Risin,10,BUY and get into and repeat!!!
43872,Xiu Xiu ,Girl with Basket of Fruit,8-9,
43872,Frances Quinlan,Likewise,8-9,repeat!!!
43873,LCD Soundsystem,This Is Happening,8-9,get into!!!
43873,Sunn O))),Pyroclasts,7,
43873,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,8,
43873,Tropical Fuck Storm,Braindrops,8,repeat!!
43873,Quelle Chris,Guns,8,"repeat!! (""You, Me & Nobody Else"")"
43873,Purple Mountains,Purple Mountains,9-10,BUY
43874,Richard Dawson,2020,9-10,repeat!!! and get into!!!
43874,Slauson Malone,"A Quiet Farwell, Twenty Sixteen to Twenty Eighteen",8,repeat!!
43874,slowthai,Nothing Great About Britain,8-9,repeat!!! and read!!!
43875,PUP,Morbid Stuff,8-9,repeat!!!
43875,Matmos,Plastic Anniversary,7-8,
43875,Matana Roberts,COIN COIN Chapter Four: Memphis,8,repeat!!! and get into!!!
43876,Liturgy,H.A.Q.Q.,7,
43876,Little Simz,GREY Area,9,repeat!!!
43877,King Gizzard & The Lizard Wizard,Infest The Rats' Nest,8,get into!!!
43877,JPEGMAFIA,All My Heroes Are Cornballs,9-10,repeat!!!
43877,Lingua Ignota,CALIGULA,8,get into!!!
43877,Lightning Bolt,Sonic Citadel,7-8,
43878,Lizzo,Cuz I Love You,7-8,
43878,"Malibu Ken, Aesop Rock",Malibu Ken,8,
43878,Megan Thee Stallion,Fever,6-7,repeat!!!
43878,Otoboke Beaver,ITEKOMA HITS,7,
43878,Kirin J Callinan,Return To Center,8,get into!!!
43878,Lana Del Rey,Norman Fucking Rockwell!,8,repeat!!
43878,Flume,Hi This Is Flume (Mixtape),8,get into!!!
43879,Charli XCX,Charli,9,repeat!!!
43879,"Freddie Gibbs, Madlib",Bandana,8,
43879,glass beach,the first glass beach album,9,repeat!!!
43879,Hobo Johnson,The Fall of Hobo Johnson,7,get into though!!!
43879,glass beach,the first glass beach album,9,repeat!!!
43879,Dwellings,Lavender Town,8-9,repeat!!!
43879,Dorian Electra,Flamboyant (DLX),8-9,repeat!!!
43880,Caroline Polachek,Pang,8-9,repeat!!!
43880,clipping.,There Existed an Addiction to Blood,8-9,repeat!!!
43880,Danny Brown,Atrocity Exhibition,8,get into!!!
43880,Dwellings,Lavender Town,8-9,repeat!!!
43880,black midi,Schlagenheim,8-9,repeat!!!
43881,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,repeat!!!
43881,100 gecs,1000 gecs,8,repeat!!!
43881,Ariana Grande,"thank u, next",8-9,<3 <3 <3
43881,Ana Frango Eletrico,Little Electric Chicken Heart,8,repeat!!!
43881,Alex Cameron,Miami Memory,8-9,repeat!!!
43882,Denzel Curry,ZUU,8-9,repeat!!!
43882,Anamanaguchi,[USA],8,
43883,"billy woods, Kenny Segal",Hiding Places,7-8,
43883,Jeff Rosenstock,We Cool?,8,repeat!!!
43883,BTS,MAP OF THE SOUL: 7,7-8,
43883,SEED Ensemble,Driftglass,8,repeat!!
43883,Victor Gould,Thoughts Become Things,8,repeat!
43884,Allison Miller's Boom Tic Boom,Glitter Wolf,8,repeat!!!
43885,Ari Lennox,Shea Butter Baby,7-8,
43885,Our Native Daughters,Songs of Our Native Daughters,8,repeat!!!
43885,iLe,Almadura,7-8,
43885,Branford Marsalis Quartet,The Secret Between the Shadow and the Soul,7-8,
43885,Theon Cross,Fyah,8-9,repeat!!! get into!!!
43886,"Blu, Oh No",A Long Red Hot Los Angeles Summer Night,7,
43886,BROCKHAMPTON,GINGER,7-8,
43887,Matana Roberts,COIN COIN Chapter Four: Memphis,9,get into!!!
43887,Christian Scott aTunde Adjuah,Ancestral Recall,8,
43887,Kris Davis,Diatom Ribbons,9,repeat!!! and get into!!!
43888,"J Balvin, Bad Bunny",OASIS,7,zumba music <3
43888,John Luther Adams,John Luther Adams: Become Desert,7,meditation music
43888,SAULT,5,9,repeat!!! and get into!!!
43888,Zoe McPherson,States of Fugue,7-8,
43889,Priscilla Ermel,Origens Da Luz,7-8,
43889,Nechochwen,Nechochwen,8,
43889,Thy Catafalque,Naiv,8-9,repeat!!!
43889,Yuri Gagarin,The Outskirts of Reality,7-8,
43890,Nilufer Yanya,Miss Universe,9,<3 <3 <3 <3 <3
